Politics,International,Society,Sports,Culture
https://www.leparisien.fr/politique/eric-ciotti-annonce-quitter-la-presidence-des-republicains-22-09-2024-FEH6NBYATND25KL2GYYHDZS7R4.php,https://www.leparisien.fr/international/israel/israel-liban-des-dizaines-davions-menent-des-frappes-massives-annonce-tsahal-le-hezbollah-ebranle-21-09-2024-ZEBBUGJP35HD5JCA77FGTVASNY.php,https://www.leparisien.fr/jo-paris-2024/defis-sport-et-sante/allianz-partenaire-engage-des-jeux-paralympiques-de-paris-2024-28-08-2024-6VX3DA2SHZGS5EGAY2O7A3EAJE.php,https://www.leparisien.fr/sports/football/ligue-1/ol-om-deux-cartons-jaunes-en-moins-de-5-minutes-lexpulsion-record-de-leonardo-balerdi-22-09-2024-HI4GJW54NZH6DLO4EHANCCD4FM.php,https://www.leparisien.fr/culture-loisirs/tv/la-chaine-c8-condamnee-a-verser-29-millions-deuros-a-thierry-ardisson-23-10-2024-SP5PYURRZZCKVKANBSZZTU3WDA.php
https://www.leparisien.fr/politique/quelquun-qui-ne-connait-strictement-rien-a-leducation-la-nomination-danne-genetet-critiquee-par-les-syndicats-22-09-2024-HYNOQFJD7ZDE5NLC5U2FX62YBU.php,https://www.leparisien.fr/international/la-russie-confirme-quelle-ne-participera-pas-au-deuxieme-sommet-sur-lukraine-prevu-par-kiev-en-suisse-21-09-2024-JOJKR4ESQBB5DOREGCPATO2PJI.php,https://www.leparisien.fr/societe/martinique-interdiction-partielle-de-manifester-dans-quatre-communes-dont-fort-de-france-21-09-2024-46EGZGKUCBBFPNSZP2JY4DKI6U.php,https://www.leparisien.fr/sports/futsal-la-france-a-t-elle-sciemment-perdu-face-a-liran-pour-beneficier-dun-meilleur-tableau-en-coupe-du-monde-22-09-2024-EIHK7G2CDNHEXBNXBPXAVOL5YY.php,https://www.leparisien.fr/culture-loisirs/expositions/un-truc-de-dingue-cristina-cordula-vend-aux-encheres-ses-ceramiques-estimees-a-850-000-euros-23-10-2024-C2JIETTPSNERXFY7I2ICOHB4WU.php
https://www.leparisien.fr/meurthe-et-moselle-54/lembauche-par-la-ville-de-lex-leader-du-bloc-lorrain-met-la-mairie-de-nancy-en-emoi-22-09-2024-NGNQ66LH7VAX5IMRHNBYGGDQ5U.php,https://www.leparisien.fr/international/etats-unis/presidentielle-americaine-letat-de-georgie-decide-un-comptage-manuel-des-voix-controverse-21-09-2024-WQ5ZIX6Q45E4ZLHEHQQWGZUPCI.php,https://www.leparisien.fr/societe/sciences-po-paris-luis-vassy-nomme-directeur-six-mois-apres-la-demission-de-mathias-vicherat-20-09-2024-JBYTJU7LKFARXOYSONLHIZWSBQ.php,https://www.leparisien.fr/sports/football/premier-league-manchester-city-arrache-le-nul-contre-arsenal-a-la-derniere-seconde-22-09-2024-YB2FCJT5PBGADPK7JOVRVY7LTQ.php,https://www.leparisien.fr/culture-loisirs/cinema/monsieur-aznavour-avec-tahar-rahim-vrai-ou-faux-on-a-compare-le-film-et-la-realite-23-10-2024-MEJEYGSSDFHINFMG2NEEKZF4J4.php
https://www.leparisien.fr/politique/gouvernement-barnier-les-socialistes-confirment-le-depot-rapide-dune-motion-de-censure-22-09-2024-C7NQRJVOWBG73B6SZEUETAYTJY.php,https://www.leparisien.fr/international/etats-unis/presidentielle-americaine-kamala-harris-met-donald-trump-au-defi-de-debattre-sur-cnn-fin-octobre-21-09-2024-5VHOUJTBNZFMXHJE3QK7DW7MCE.php,https://www.leparisien.fr/societe/nouveau-gouvernement-la-surprise-anne-genetet-a-leducation-nationale-20-09-2024-PJ22VFRMVFHLNJIUUKHT7HRH4M.php,https://www.leparisien.fr/sports/football/ligue-1/ligue-1-brest-enchaine-montpellier-reagit-angers-resiste-ce-quil-faut-retenir-des-matchs-de-ce-dimanche-22-09-2024-CUB5EZ2YRVAF7ETHHKSMK6WV6M.php,https://www.leparisien.fr/culture-loisirs/tv/la-france-a-un-incroyable-talent-sur-m-6-romain-rachline-borgeaud-une-etoile-de-retour-sur-le-parquet-23-10-2024-BUKG26CNJVE6XKJ62OJI72OFOQ.php
https://www.leparisien.fr/politique/commission-europeenne-personne-na-eu-ma-peau-cest-moi-qui-ai-demissionne-affirme-thierry-breton-22-09-2024-GWTCPNUKL5DYHHL6PXFZG7IHMU.php,https://www.leparisien.fr/international/israel/tensions-en-israel-et-le-liban-de-nouvelles-frappes-echangees-entre-letat-hebreu-et-le-hezbollah-21-09-2024-CXS5J3YQPFEUXD4W7ITGAX7544.php,https://www.leparisien.fr/societe/con-bouffon-abruti-quelles-sont-les-insultes-que-les-francais-utilisent-le-plus-20-09-2024-YPTWKY2GGFAW3BOZCICYJSJE6A.php,https://www.leparisien.fr/sports/basket/betclic-elite-le-paris-basketball-commence-sa-saison-par-une-defaite-face-a-gravelines-dunkerque-22-09-2024-54QDMEXS6JG3XHVDIIAJZZSCXE.php,https://www.leparisien.fr/culture-loisirs/miss-france/ignorance-et-jalousie-la-candidate-du-nord-pas-de-calais-a-miss-france-2025-victime-dune-vague-de-haine-raciste-23-10-2024-AASW2HHOSZCU7K2J5EJ5Q7C54A.php
https://www.leparisien.fr/politique/gouvernement-barnier-francois-hollande-plaide-pour-une-motion-de-censure-socialiste-22-09-2024-5MYUZ7ZUBZHBVCKW5H3KCZIEMI.php,https://www.leparisien.fr/international/guerre-en-ukraine-kiev-revendique-des-frappes-contre-deux-depots-de-munitions-en-russie-21-09-2024-N6GRL5D2IJGKBECXFH6MDYD7QU.php,https://www.leparisien.fr/societe/sante/idees-sante-bien-etre/polyaddictions-une-substance-peut-en-cacher-une-autre-09-09-2024-SLILURI7J5FTLFL2RUMH3DSD7Y.php,https://www.leparisien.fr/sports/coupe-du-monde-de-futsal-apres-un-non-match-contre-liran-la-france-affrontera-la-thailande-en-8e-de-finale-22-09-2024-UL3AZ7Q5DJHLTFDKURBUYZ3ROI.php,https://www.leparisien.fr/culture-loisirs/musique/hommage-a-aznavour-un-concert-symphonique-avec-sylvie-vartan-thomas-dutronc-et-alain-chamfort-a-paris-23-10-2024-AYNQLFZILBE6NJISA2ZC6QMCXQ.php
https://www.leparisien.fr/politique/nouveau-gouvernement-la-parite-respectee-mais-les-ministeres-regaliens-occupes-uniquement-par-des-hommes-22-09-2024-PCQTOGSSAFFZHAUIW6OAH72BBM.php,https://www.leparisien.fr/international/israel/gaza-ce-que-lon-sait-de-la-frappe-israelienne-sur-une-ecole-accueillant-des-deplaces-21-09-2024-OFYZHRCDKNAR3FNMYQPFZ47N6E.php,https://www.leparisien.fr/societe/quest-ce-que-le-cotton-candy-cette-variete-de-raisin-au-gout-de-barbe-a-papa-qui-cartonne-sur-tiktok-20-09-2024-4ZUD2TYHYRBTFBCQSX6GMOC7XU.php,https://www.leparisien.fr/sports/cyclisme/javais-toute-ma-famille-a-domicile-arnaud-demare-remporte-sa-97e-victoire-chez-les-pros-sur-paris-chauny-22-09-2024-ELSKU4MKDRDSZNZ4QQINQOOMSE.php,https://www.leparisien.fr/culture-loisirs/cinema/lamour-ouf-fait-un-carton-en-salles-plus-dun-million-dentrees-en-une-semaine-23-10-2024-DYXBA6DAWNFV7E5M3JBGSIA4WU.php
https://www.leparisien.fr/politique/gouvernement-barnier-maud-bregeon-succede-a-prisca-thevenot-au-porte-parolat-22-09-2024-GXBBKMDCXRCWJPZGEUNYCZ727Q.php,https://www.leparisien.fr/international/japon-un-disparu-et-plus-de-60-000-personnes-evacuees-en-raison-dinondations-21-09-2024-2RYVLRGJZ5D3LOLARY3SYVCWBE.php,https://www.leparisien.fr/etudiant/etudes/jeunes-ruraux-dans-les-grandes-ecoles-jai-mis-du-temps-a-me-sentir-legitime-JFRMVGHQRJE4VINPSOOU4GNK7U.php,https://www.leparisien.fr/sports/rugby/rugby-un-jeune-joueur-ardechois-deplore-des-actes-de-racisme-et-de-nazisme-dans-son-club-22-09-2024-EIQHCLRA6VHVTIGDFIQTGP27RM.php,https://www.leparisien.fr/culture-loisirs/series/les-enfants-sont-rois-sur-disney-que-vaut-la-serie-adaptee-du-livre-de-delphine-de-vigan-23-10-2024-O3BWS7E2KVB2NJNWTFFAFOYPWI.php
https://www.leparisien.fr/politique/gouvernement-barnier-sophie-primas-lr-une-anti-bling-bling-au-commerce-exterieur-et-au-tourisme-22-09-2024-DRQYFLMSBFA4HDMAOCFNEI4KXA.php,https://www.leparisien.fr/international/liban-le-hezbollah-annonce-la-mort-dun-deuxieme-commandant-dans-la-frappe-israelienne-pres-de-beyrouth-21-09-2024-Y472IZIXYRG3RGTCBH6FBSHAMI.php,https://www.leparisien.fr/societe/sante/les-laboratoires-danalyses-medicales-appellent-a-une-greve-forte-de-quatre-jours-des-ce-vendredi-19-09-2024-GWGLCAMLZJHYTBX6UJ2E5E554U.php,https://www.leparisien.fr/sports/cyclisme/cyclisme-dans-la-lignee-dun-ete-etincelant-remco-evenepoel-conserve-son-titre-de-champion-du-monde-du-chrono-22-09-2024-RI74CGLQQZG6ZJYW5ORITEQRXM.php,https://www.leparisien.fr/culture-loisirs/cinema/lacteur-idris-elba-veut-sinstaller-en-afrique-dans-les-cinq-ou-dix-prochaines-annees-23-10-2024-UY4AKBE4IJFX3JTEXJJB5WTWDE.php
https://www.leparisien.fr/sports/le-sport-francais-continuera-sur-sa-lancee-amelie-oudea-castera-felicite-son-successeur-gil-averous-21-09-2024-JJKJ2XHSLNHNNB6GQYRTOX3UAM.php,https://www.leparisien.fr/international/etats-unis/etats-unis-le-premier-vaccin-contre-la-grippe-a-sadministrer-soi-meme-autorise-21-09-2024-IG3BWNV6GJE5TESVQHEQKJ6CUI.php,https://www.leparisien.fr/societe/manque-de-doigte-et-condescendance-des-millions-de-personnes-victimes-de-maltraitance-institutionnelle-en-france-19-09-2024-AWYF7QDS4BG6RPR2LRZXRRSV6E.php,https://www.leparisien.fr/jo-paris-2024/defis-sport-et-sante/paris-2024-le-grand-rendez-vous-des-jeux-paralympiques-28-08-2024-UBA752PDRNGDXNRCXUYTJP27E4.php,https://www.leparisien.fr/paris-75/paris-asterix-et-obelix-ont-fait-leur-entree-au-musee-grevin-mardi-23-10-2024-INIQUQHAYRBBVKPMT4ZQ3GYHSA.php
https://www.leparisien.fr/politique/en-deplacement-avec-bruno-retailleau-michel-barnier-avance-ses-pions-sur-limmigration-18-10-2024-RY6CNXTHWNCFPBIQ7G2WYH7ZAE.php,https://www.leparisien.fr/international/guerre-en-ukraine-poutine-voit-dans-les-propos-de-zelensky-sur-larme-nucleaire-une-dangereuse-provocation-18-10-2024-2JFYZ5CHSBAKFJAVI35YSWDYIQ.php,https://www.leparisien.fr/societe/une-association-de-londres-cree-des-emojis-cheveux-afro-25-10-2024-DXTAY6Q6OBHNRGOENZLGOQ4ON4.php,https://www.leparisien.fr/sports/football/psg/psg-avant-le-clasico-contre-lom-300-supporters-au-soutien-des-joueurs-parisiens-a-lentrainement-25-10-2024-4XRBDSVTJFCJHO2DEQSAXVS76M.php,https://www.leparisien.fr/culture-loisirs/tv/lamour-est-dans-le-pre-choix-difficiles-et-largages-cest-lheure-des-grands-departs-28-10-2024-YPZATTB2UZHULJT5T4MU3HSWCY.php
https://www.leparisien.fr/politique/legislative-partielle-lucie-castets-ancienne-pretendante-a-matignon-renonce-a-une-candidature-a-grenoble-18-10-2024-C43PKBBHMFE4TKGYXTE6GXV3WE.php,https://www.leparisien.fr/international/israel/gaza-est-lincarnation-reelle-de-lenfer-sur-terre-les-conditions-de-vie-dun-million-denfants-denoncees-par-lunicef-18-10-2024-MNX2UP5WLNCJTDWW5RZD4B4STU.php,https://www.leparisien.fr/societe/changement-dheure-prevue-pour-2021-pourquoi-la-fin-de-cette-mesure-na-t-elle-toujours-pas-eu-lieu-25-10-2024-SNLIJIXEURDVZKZ4SAL7KJOVGY.php,https://www.leparisien.fr/sports/football/ligue-1/comment-penser-quun-ultra-va-rester-sagement-rang-2-place-27-la-billetterie-nominative-fait-debat-25-10-2024-MEA6MXC5JNHWRHDGFY2R5V2DWM.php,https://www.leparisien.fr/culture-loisirs/tv/audiences-tv-lamour-est-dans-le-pre-en-tete-le-daron-et-sur-la-dalle-en-forte-baisse-29-10-2024-5ZAEJ7UYBJD4TDQCFS4X2LVQYQ.php
https://www.leparisien.fr/politique/propos-de-macron-sur-la-creation-disrael-ces-discussions-nont-pas-vocation-a-etre-divulguees-estime-michel-barnier-18-10-2024-LONDZ2IPBNCTDGLUH74NLKQH5Y.php,https://www.leparisien.fr/international/israel/mort-de-yahya-sinouar-le-hamas-assure-vouloir-continuer-son-combat-jusqua-la-liberation-de-la-palestine-18-10-2024-3HNZEU7SF5HDNPZ247LA6SKAO4.php,https://www.leparisien.fr/societe/obseques-de-lina-nouvel-episode-cevenol-enlevement-de-santiago-les-infos-a-retenir-ce-midi-25-10-2024-GGS7KBZCERAZVEYK5VFQ6KATFU.php,https://www.leparisien.fr/sports/football/psg/psg-on-connait-enfin-la-date-de-linauguration-officielle-du-campus-a-poissy-25-10-2024-ZFN6BCQF4NCLXJXJIJS5WMOETE.php,https://www.leparisien.fr/culture-loisirs/audiences-tv-tempete-sur-france-2-devance-dune-tete-jumanji-next-level-sur-tf-1-28-10-2024-T5UVVRJS6VF4VIAUKVCFPR5PJU.php
https://www.leparisien.fr/politique/crues-et-inondations-michel-barnier-deplore-des-intemperies-dune-violence-inedite-depuis-40-ans-18-10-2024-CT4DAM62VRC53HHL2VWINYX4OA.php,https://www.leparisien.fr/international/entrainement-d-acclimatation-deploiement-en-ukraine-ce-que-lon-sait-des-soldats-nord-coreens-en-russie-18-10-2024-GABGXMZP4FG57NMJZIPPBZKWHU.php,https://www.leparisien.fr/meteo/intemperies-michel-barnier-en-deplacement-dans-le-rhone-pour-devoiler-le-plan-dadaptation-au-changement-climatique-25-10-2024-AJSD5L7DSBFX7FOLVS4XMIFRPU.php,https://www.leparisien.fr/sports/football/football-apres-les-bleues-herve-renard-pourrait-revenir-sur-le-banc-de-larabie-saoudite-25-10-2024-DUAOAE5WYJD2BKNQZ3GMVBO4TE.php,https://www.leparisien.fr/culture-loisirs/tv/audiences-tv-meurtres-a-nimes-loin-devant-la-star-academy-releguee-a-la-troisieme-place-27-10-2024-CLRQYZWASNBERD6OXKOVZTCXLA.php
https://www.leparisien.fr/immobilier/valerie-letard-ministre-du-logement-je-suis-pour-un-pret-a-taux-zero-partout-pour-le-neuf-18-10-2024-UIYIG6FGQBHNHIUTXSHIE4EE74.php,https://www.leparisien.fr/international/lexecution-dun-americain-condamne-dans-une-affaire-de-bebe-secoue-suspendue-in-extremis-18-10-2024-3ZFBUYDA3NGZVEARRDC3UGAM44.php,https://www.leparisien.fr/societe/sante/les-emanations-dhuiles-de-friture-peuvent-etre-a-lorigine-de-cancers-met-en-garde-lanses-25-10-2024-MLLSTOOJXNEGBBQKIB7XIU27II.php,https://www.leparisien.fr/sports/football/om-psg-et-real-madrid-barcelone-mais-pourquoi-les-deux-clasicos-tombent-ils-si-souvent-en-meme-temps-25-10-2024-JNYFGP7VNFA2HG5L3DT2AXADOM.php,https://www.leparisien.fr/culture-loisirs/tv/star-academy-paul-elimine-maureen-immunisee-et-des-choristes-a-gogo-26-10-2024-Z5MFJHQKZZBZDF2KWKQ3ODGQ2U.php
https://www.leparisien.fr/politique/transferts-de-migrants-vers-des-pays-tiers-lexemple-italien-nest-pas-transposable-en-france-affirme-barnier-18-10-2024-ZLAD4QDLZNBCTNPEHZB55LMSPE.php,https://www.leparisien.fr/international/etats-unis/sondage-presidentielle-americaine-en-georgie-qui-est-en-tete-entre-donald-trump-et-kamala-harris-18-10-2024-XUGZ5PNMNNA2FG7GW7JRCYTLIQ.php,https://www.leparisien.fr/societe/nous-sommes-une-ville-pionniere-venise-reconduit-les-billets-payants-pour-les-touristes-journaliers-en-2025-25-10-2024-M3RHDVF6ZJD7VORQ54WCAF3KQ4.php,https://www.leparisien.fr/sports/football/ligue-1/om-psg-pour-de-zerbi-luis-enrique-est-lun-des-meilleurs-entraineurs-du-monde-25-10-2024-XAWMAEUWDFGFDOG4YYEN2AEIIQ.php,https://www.leparisien.fr/culture-loisirs/tv/toutes-les-semaines-sur-scene-ca-na-pas-de-prix-le-message-de-celine-dion-aux-candidats-de-la-star-academy-26-10-2024-ERTFY3LFYBGZ5FSAPS5JUO6MQI.php
https://www.leparisien.fr/politique/immigration-un-tribunal-italien-invalide-la-retention-de-demandeurs-dasile-transferes-en-albanie-18-10-2024-P5NGEPFKEBAFTIZ4NXW47ZC5TA.php,https://www.leparisien.fr/international/australie-un-etat-abaisse-la-responsabilite-penale-qui-permet-lincarceration-des-enfants-de-10-ans-18-10-2024-I4AK77553JES7KEOHUAV5BQZFE.php,https://www.leparisien.fr/bas-rhin-67/des-bijoux-concus-avec-du-lait-maternel-les-creations-etonnantes-dune-alsacienne-25-10-2024-NM7TJDTBEFGIHDFZSBEYOEMYAY.php,https://www.leparisien.fr/sports/football/real-madrid-fc-barcelone-kylian-mbappe-est-tres-tranquille-avant-son-premier-clasico-assure-ancelotti-25-10-2024-BAQXHUYIZVB3ZLEF2ET6HO7N5Y.php,https://www.leparisien.fr/culture-loisirs/audiences-tv-master-crimes-avec-muriel-robin-en-tete-sur-tf-1-25-10-2024-N2AISKDHVZEKRFKJDDJR2JXWJQ.php
